code,name,category,subcategory,benchmark_index,description
510300,沪深300ETF,A_broad,large_cap,000300.SH,沪深300指数核心宽基
510310,沪深300ETF易方达,A_broad,large_cap,000300.SH,沪深300备选
510500,中证500ETF,A_broad,mid_cap,000905.SH,中证500中盘
159922,中证500ETF嘉实,A_broad,mid_cap,000905.SH,中证500备选
159915,创业板ETF,A_broad,growth,399006.SZ,创业板成长
588000,科创50ETF,A_broad,growth_tech,000688.SH,科创板硬科技
510880,红利ETF,B_dividend,high_yield,000015.SH,上证红利高股息
512890,红利低波ETF,B_dividend,low_vol,930740.CSI,红利低波动
512100,中证1000ETF,A_broad,small_cap,000852.SH,中证1000小盘
513100,纳指ETF,C_overseas,us_tech,NDX,纳斯达克100跨境
513500,标普500ETF,C_overseas,us_broad,SPX,标普500跨境
513180,恒生科技ETF,C_overseas,hk_tech,HSTECH,恒生科技
159920,恒生ETF,C_overseas,hk_broad,HSI,恒生指数
511260,10年国开ETF,D_bond,long_duration,CGBI10,10年期国开债
511010,5年国债ETF,D_bond,mid_duration,CGB5,5年期国债
511880,银华日利,F_cash,money_market,-,场内货币ETF
518880,黄金ETF,E_commodity,gold,AU9999,实物黄金
159980,有色ETF,E_commodity,metals,930893.CSI,有色金属周期
512200,房地产ETF,A_sector,real_estate,000949.CSI,房地产板块
512760,半导体ETF,A_sector,semiconductor,H30184.CSI,半导体主题
159928,消费ETF,A_sector,consumer,000932.CSI,中证消费
512170,医药ETF,A_sector,healthcare,000933.CSI,中证医药
512800,银行ETF,A_sector,banking,399986.CSI,中证银行
512690,酒ETF,A_sector,liquor,399997.CSI,中证白酒
